Occupation Title,Occupation Code,Employment 2024,Employment 2034,"Employment Change, 2024-2034","Employment Percent Change, 2024-2034","Occupational Openings, 2024-2034 Annual Average",Median Annual Wage 2024,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode,SOC_Code,SOC_Major,Occupation_Clean,Occupation_Category,AI_Theoretical_Exposure,AI_Observed_Exposure,AI_Automation_Gap
Loan officers    * Branch Lending Officer* Commercial Lender* Loan Analyst* Loan Officer* Loan Reviewer* Payday Loan Officer* Real Estate Loan Officer,"=""13-2072""",301.4,306.5,5.0,1.7,20.3,74180.0,Bachelor's degree,3,Less than 5 years,2,Moderate-term on-the-job training,4,13-2072,13,Loan officers,Business & Financial,94.3,27.5,66.8
Chiropractors    * Chiropractic Doctor* Chiropractic Physician,"=""29-1011""",57.2,62.6,5.4,9.5,2.8,79000.0,Doctoral or professional degree,1,,4,,6,29-1011,29,Chiropractors,Healthcare Practitioners,65.4,7.2,58.2
"Dentists, general    * Family Dentist","=""29-1021""",129.8,135.2,5.4,4.1,3.9,172790.0,Doctoral or professional degree,1,,4,,6,29-1021,29,"Dentists, general",Healthcare Practitioners,65.4,7.2,58.2
"Community and social service specialists, all other    * Community Organization Worker* Veterans Service Officer","=""21-1099""",119.2,124.7,5.5,4.6,13.1,54940.0,Bachelor's degree,3,,4,,6,21-1099,21,"Community and social service specialists, all other",Community & Social Service,67.5,8.4,59.1
"Compensation, benefits, and job analysis specialists    * Benefits Analyst* Compensation Analyst* Compensation Specialist* Employee Benefits Specialist* Job Analyst* Job Specification Writer* Occupational Analyst* Pension Administrator* Position Classification Specialist* Retirement Plan Specialist","=""13-1141""",107.0,112.7,5.6,5.3,8.5,77020.0,Bachelor's degree,3,Less than 5 years,2,,6,13-1141,13,"Compensation, benefits, and job analysis specialists",Business & Financial,94.3,27.5,66.8
Computer hardware engineers    * Computer Hardware Designer* Computer Hardware Developer,"=""17-2061""",76.8,82.4,5.6,7.3,4.7,155020.0,Bachelor's degree,3,,4,,6,17-2061,17,Computer hardware engineers,Architecture & Engineering,84.8,14.7,70.1
Art directors    * Magazine Designer,"=""27-1011""",135.0,140.7,5.7,4.2,12.3,111040.0,Bachelor's degree,3,5 years or more,1,,6,27-1011,27,Art directors,"Arts, Design, Media & Sports",83.7,19.3,64.4
Facilities managers    * Conference Center Manager* Director of University Housing* Stadium Manager,"=""11-3013""",151.4,157.1,5.7,3.8,13.2,104690.0,Bachelor's degree,3,Less than 5 years,2,,6,11-3013,11,Facilities managers,Management,91.3,18.2,73.1
Graphic designers    * Graphic Artist* Visual Designer,"=""27-1024""",265.9,271.5,5.7,2.1,20.0,61300.0,Bachelor's degree,3,,4,,6,27-1024,27,Graphic designers,"Arts, Design, Media & Sports",83.7,19.3,64.4
"Sales representatives, wholesale and manufacturing, technical and scientific products    * Chemical Sales Representative* Electroplating Sales Representative* Engineering Supplies Sales* Pharmaceutical Detailer* Pharmaceutical Sales Representative* Pharmaceutical Salesperson* Surgical Instruments Sales Representative* Wholesale Ultrasonic Equipment Salesperson","=""41-4011""",303.2,308.9,5.7,1.9,27.2,100070.0,Bachelor's degree,3,,4,Moderate-term on-the-job training,4,41-4011,41,"Sales representatives, wholesale and manufacturing, technical and scientific products",Sales,76.5,15.3,61.2
"Business teachers, postsecondary    * Accounting Professor* Banking and Finance Instructor* Business Administration Professor* Finance Professor* Management Professor* Marketing Instructor* Marketing Professor","=""25-1011""",103.1,109.0,5.8,5.7,8.1,97270.0,Doctoral or professional degree,1,,4,,6,25-1011,25,"Business teachers, postsecondary",Education & Training,72.8,11.5,61.3
Database architects    * Data Architect* Data Integration Specialist* Data Warehousing Specialist* Database Developer,"=""15-1243""",66.9,72.7,5.8,8.7,4.0,135980.0,Bachelor's degree,3,Less than 5 years,2,,6,15-1243,15,Database architects,Computer & Mathematical,94.3,33.0,61.3
Fundraisers    * Campaign Fundraiser* Donor Relations Officer* Fundraising Officer,"=""13-1131""",134.4,140.2,5.8,4.3,10.2,66490.0,Bachelor's degree,3,,4,,6,13-1131,13,Fundraisers,Business & Financial,94.3,27.5,66.8
Clinical laboratory technologists and technicians,"=""29-2010""",351.2,357.2,6.0,1.7,22.6,61890.0,Bachelor's degree,3,,4,,6,29-2010,29,Clinical laboratory technologists and technicians,Healthcare Practitioners,65.4,7.2,58.2
"Electronics engineers, except computer    * Antenna Engineer* Circuit Design Engineer* Electronic Design Automation Engineer* Electronic Engineer* Electronic Parts Designer* Telecommunication Engineer","=""17-2072""",95.9,101.8,6.0,6.2,5.7,127590.0,Bachelor's degree,3,,4,,6,17-2072,17,"Electronics engineers, except computer",Architecture & Engineering,84.8,14.7,70.1
"Teaching assistants, postsecondary    * Assistant Instructor* College Biology Teaching Assistant* University Teaching Assistant","=""25-9044""",193.6,199.6,6.0,3.1,24.6,44930.0,Bachelor's degree,3,,4,,6,25-9044,25,"Teaching assistants, postsecondary",Education & Training,72.8,11.5,61.3
Health information technologists and medical registrars    * Cancer Registrar* Clinical Informatics Analyst* Health Informatics Specialist* Health Information Analyst* Health Information Systems Technician,"=""29-9021""",41.9,48.1,6.2,14.7,3.2,67310.0,Associate's degree,4,,4,,6,29-9021,29,Health information technologists and medical registrars,Healthcare Practitioners,65.4,7.2,58.2
"Therapists, all other    * Art Therapist* Auriculotherapist* Educational Therapist* Hydrotherapist* Music Therapist* Peripatologist","=""29-1129""",56.1,62.5,6.4,11.5,4.1,65010.0,Bachelor's degree,3,,4,,6,29-1129,29,"Therapists, all other",Healthcare Practitioners,65.4,7.2,58.2
Web developers    * Intranet Developer* Web Applications Developer* Web Architect* Web Content Developer* Web Developer,"=""15-1254""",86.0,92.5,6.5,7.5,5.4,90930.0,Bachelor's degree,3,,4,,6,15-1254,15,Web developers,Computer & Mathematical,94.3,33.0,61.3
Actuaries    * Actuarial Associate* Actuarial Mathematician* Health Actuary* Insurance Actuary* Pricing Actuary* Product Development Actuary,"=""15-2011""",33.6,40.9,7.3,21.8,2.4,125770.0,Bachelor's degree,3,,4,Long-term on-the-job training,3,15-2011,15,Actuaries,Computer & Mathematical,94.3,33.0,61.3
"Meeting, convention, and event planners    * Certified Meeting Professional* Conference Organizer* Conference Planner* Conference Planning Manager* Conference Services Director* Conference Services Manager* Convention Planner* Convention Services Manager* Corporate Meeting Planner* Event Planner* Events Manager* Wedding Planner","=""13-1121""",155.8,163.3,7.5,4.8,15.5,59440.0,Bachelor's degree,3,,4,,6,13-1121,13,"Meeting, convention, and event planners",Business & Financial,94.3,27.5,66.8
Computer and information research scientists    * Computational Theory Scientist* Computer Scientist* Control System Computer Scientist* Programming Methodology and Languages Researcher,"=""15-1221""",40.3,48.3,7.9,19.7,3.2,140910.0,Master's degree,2,,4,,6,15-1221,15,Computer and information research scientists,Computer & Mathematical,94.3,33.0,61.3
Architectural and engineering managers    * Electrical Engineering Director* Engineering Design Manager* Engineering Manager* Engineering Research Manager* Global Engineering Manager* Mechanical Engineering Director* Process Engineering Manager,"=""11-9041""",212.5,220.5,8.0,3.8,14.5,167740.0,Bachelor's degree,3,5 years or more,1,,6,11-9041,11,Architectural and engineering managers,Management,91.3,18.2,73.1
Producers and directors    * Broadcast Producer* Casting Director* Film Maker* Independent Film Maker* Independent Video Producer* Motion Picture Director* Movie Producer* Music Video Director* Music Video Producer* News Production Supervisor* Newscast Director* Newscast Producer* On-Air Director* Pageant Director* Radio Producer* Radio and Television Technical Director* Stage Manager* Television News Producer* Television Newscast Director* Television Producer* Television Program Director* Theater Company Producer* Video Producer,"=""27-2012""",167.0,175.2,8.3,4.9,12.8,83480.0,Bachelor's degree,3,Less than 5 years,2,,6,27-2012,27,Producers and directors,"Arts, Design, Media & Sports",83.7,19.3,64.4
Veterinarians    * Animal Pathologist* Animal Surgeon* Doctor of Veterinary Medicine* Doctor of Veterinary Medicine (DVM)* Equine Veterinarian* Large Animal Veterinarian* Poultry Pathologist* Public Health Veterinarian* Small Animal Veterinarian* Veterinary Cardiologist* Veterinary Medicine Scientist* Veterinary Radiologist* Wildlife Veterinarian,"=""29-1131""",86.4,94.7,8.3,9.6,3.0,125510.0,Doctoral or professional degree,1,,4,,6,29-1131,29,Veterinarians,Healthcare Practitioners,65.4,7.2,58.2
"Substitute teachers, short-term    * Elementary School Substitute Teacher* English Substitute Teacher","=""25-3031""",510.1,518.5,8.4,1.6,61.1,38470.0,Bachelor's degree,3,,4,,6,25-3031,25,"Substitute teachers, short-term",Education & Training,72.8,11.5,61.3
Clinical and counseling psychologists    * Eating Disorder Psychologists* Geropsychologists,"=""19-3033""",76.3,84.8,8.5,11.2,4.8,95830.0,Doctoral or professional degree,1,,4,Internship/residency,1,19-3033,19,Clinical and counseling psychologists,"Life, Physical & Social Science",78.2,12.8,65.4
"Physicians, all other    * Gastroenterologist* Immunologist* Nephrologist* Oncologist* Physiatrist* Pulmonary Physician* Pulmonologist* Rheumatologist","=""29-1229""",340.7,349.3,8.6,2.5,9.6,,Doctoral or professional degree,1,,4,Internship/residency,1,29-1229,29,"Physicians, all other",Healthcare Practitioners,65.4,7.2,58.2
"Counselors, all other    * AIDS Counselor* Anger Control Counselor* Grief Counselor* HIV Counselor* Sexual Assault Counselor","=""21-1019""",69.1,77.8,8.7,12.6,7.4,49830.0,Master's degree,2,,4,,6,21-1019,21,"Counselors, all other",Community & Social Service,67.5,8.4,59.1
Medical equipment repairers    * BMET* Biomedical Electronics Technician* Biomedical Equipment Technician* Certified Biomedical Equipment Technician* Dental Equipment Mechanic* Dental Equipment Repairer* Durable Medical Equipment Repairer* Electromedical Equipment Technician* Radiology Equipment Servicer* Surgical Instrument Mechanic,"=""49-9062""",68.0,76.8,8.8,12.9,7.3,62630.0,Associate's degree,4,,4,Moderate-term on-the-job training,4,49-9062,49,Medical equipment repairers,Installation & Maintenance,32.4,2.6,29.799999999999997
Web and digital interface designers    * Digital Designer* Graphic Web Designer* Web Content Specialist,"=""15-1255""",128.9,137.9,9.0,7.0,9.1,98090.0,Bachelor's degree,3,,4,,6,15-1255,15,Web and digital interface designers,Computer & Mathematical,94.3,33.0,61.3
Occupational therapy assistants    * COTA* Certified Occupational Therapy Assistant* Licensed Occupational Therapy Assistant* Occupational Therapist Assistants,"=""31-2011""",49.2,58.7,9.5,19.2,7.2,68340.0,Associate's degree,4,,4,,6,31-2011,31,Occupational therapy assistants,Healthcare Support,42.1,3.8,38.300000000000004
Marriage and family therapists    * Child and Family Counselor* Couples Therapist* Family Counselor* Family Therapist* Marriage Counselor* Marriage Therapist* Relationship Counselor,"=""21-1013""",77.8,87.7,9.8,12.6,7.7,63780.0,Master's degree,2,,4,Internship/residency,1,21-1013,21,Marriage and family therapists,Community & Social Service,67.5,8.4,59.1
Radiologic technologists and technicians    * Computed Axial Tomography Technologist* Computed Tomography (CT) Scanner Operator* Radiologic Technician* Registered Radiologic Technologist* Skiagrapher* X-Ray Technician,"=""29-2034""",228.0,237.8,9.8,4.3,12.9,77660.0,Associate's degree,4,,4,,6,29-2034,29,Radiologic technologists and technicians,Healthcare Practitioners,65.4,7.2,58.2
Human resources managers    * Employee Relations Manager* Job Analysis Manager* Labor Relations Director* Personnel Administrator* Personnel Director* Personnel Manager* Position Description Manager,"=""11-3121""",221.9,233.0,11.1,5.0,17.9,140030.0,Bachelor's degree,3,5 years or more,1,,6,11-3121,11,Human resources managers,Management,91.3,18.2,73.1
Diagnostic medical sonographers    * Cardiac/Vascular Sonographer* Echocardiogram Technician* Echocardiographer* Echocardiographic Technologist* Echocardiography Technician* Echocardiology Technologist* Registered Diagnostic Medical Sonographer* Sonographer* Ultrasonographer* Ultrasound Technician* Ultrasound Technologist,"=""29-2032""",90.0,101.7,11.7,13.0,5.8,89340.0,Associate's degree,4,,4,,6,29-2032,29,Diagnostic medical sonographers,Healthcare Practitioners,65.4,7.2,58.2
Financial examiners    * Bank Compliance Officer* Bank Examiner* Financial Compliance Examiner* Home Mortgage Disclosure Act Specialist* Payroll Examiner* Pension Examiner,"=""13-2061""",65.1,77.2,12.1,18.5,5.7,90400.0,Bachelor's degree,3,,4,Long-term on-the-job training,3,13-2061,13,Financial examiners,Business & Financial,94.3,27.5,66.8
Veterinary technologists and technicians    * Certified Veterinary Technician* LVT* Licensed Veterinary Technician* Registered Veterinary Technician* Veterinary Lab Tech* Veterinary Laboratory Technician* Veterinary Surgery Technician* Veterinary Surgery Technologist* Veterinary Technologist* Veterinary X-Ray Operator,"=""29-2056""",134.2,146.4,12.2,9.1,14.3,45980.0,Associate's degree,4,,4,,6,29-2056,29,Veterinary technologists and technicians,Healthcare Practitioners,65.4,7.2,58.2
Compliance officers    * Air Pollution Compliance Inspector* Compliance Investigator* Driver's License Examiner* EEO Officer* Environmental Compliance Inspector* Equal Employment Opportunity Investigator* Equal Employment Opportunity Officer* Equal Employment Opportunity Representative* Immigration Investigator* Inspector of Weights and Measures* License Inspector* Mortician Investigator* Wage and Hour Investigator,"=""13-1041""",418.0,430.3,12.3,3.0,33.3,78420.0,Bachelor's degree,3,,4,Moderate-term on-the-job training,4,13-1041,13,Compliance officers,Business & Financial,94.3,27.5,66.8
Administrative services managers    * Business Office Manager* Business Unit Manager* Records Management Director* Records and Information Manager* University Registrar,"=""11-3012""",271.2,283.8,12.6,4.6,23.2,108390.0,Bachelor's degree,3,Less than 5 years,2,,6,11-3012,11,Administrative services managers,Management,91.3,18.2,73.1
Chief executives    * Admiral* CEO* COO* Chief Executive Officer* Chief Financial Officer* Chief Operating Officer* Chief Sustainability Officer* Commissioner of Internal Revenue* County Commissioner* Government Service Executive* Governor* Mayor* School Superintendent* University President,"=""11-1011""",309.4,322.7,13.3,4.3,22.2,206420.0,Bachelor's degree,3,5 years or more,1,,6,11-1011,11,Chief executives,Management,91.3,18.2,73.1
"Educational, guidance, and career counselors and advisors    * Admissions Counselor* Career Counselor* Career Technical Counselor* Education Counselor* Guidance Counselor* International Student Counselor* School Adjustment Counselor* School Guidance Counselor* Student Advisor* Student Development Advisor* Student Services Counselor* Student Success Counselor* Study Abroad Advisor* Vocational Adviser","=""21-1012""",376.3,389.6,13.3,3.5,31.0,65140.0,Master's degree,2,,4,,6,21-1012,21,"Educational, guidance, and career counselors and advisors",Community & Social Service,67.5,8.4,59.1
Mental health and substance abuse social workers    * Community Mental Health Social Worker* Drug Abuse Social Worker* Psychiatric Social Worker* Psychotherapist Social Worker,"=""21-1023""",136.8,150.1,13.3,9.7,13.5,60060.0,Master's degree,2,,4,Internship/residency,1,21-1023,21,Mental health and substance abuse social workers,Community & Social Service,67.5,8.4,59.1
"Child, family, and school social workers    * C-CYFSW* Certified Children, Youth, and Family Social Worker* Child Abuse Worker* Child Protective Services Social Worker* Child Protective Services Specialist* Child Welfare Social Worker* Child Welfare Worker* Child and Family Services Worker* Family Preservation Caseworker* Family Preservation Worker* Family Service Caseworker* Foster Care Social Worker* Foster Care Worker* School Social Worker","=""21-1021""",399.9,413.3,13.4,3.4,35.1,58570.0,Bachelor's degree,3,,4,,6,21-1021,21,"Child, family, and school social workers",Community & Social Service,67.5,8.4,59.1
Electrical engineers    * Electrical Design Engineer* Electrical Systems Engineer* Illuminating Engineer* Power Distribution Engineer,"=""17-2071""",192.0,205.7,13.8,7.2,11.7,111910.0,Bachelor's degree,3,,4,,6,17-2071,17,Electrical engineers,Architecture & Engineering,84.8,14.7,70.1
Social and community service managers    * Child Welfare Director* Community Service Director* Community Service Organization Director* Family Service Center Director* Neighborhood Service Center Director* Social Service Director* Social Services Director* Youth Program Director,"=""11-9151""",219.8,233.9,14.1,6.4,18.6,78240.0,Bachelor's degree,3,Less than 5 years,2,,6,11-9151,11,Social and community service managers,Management,91.3,18.2,73.1
"Medical scientists, except epidemiologists    * Cancer Researcher* Clinical Pharmacologist* Gerontologist* Histopathologist* Immunochemist* Industrial Pharmacist* Medical Health Researcher* Medical Research Scientist* Medical Scientist* Neuroscientist* Pharmacologist* Serologist* Toxicologist","=""19-1042""",165.3,179.6,14.3,8.7,9.6,100590.0,Doctoral or professional degree,1,,4,,6,19-1042,19,"Medical scientists, except epidemiologists","Life, Physical & Social Science",78.2,12.8,65.4
Healthcare social workers    * AIDS Social Worker* C-SWHC* Certified Social Workers In Health Care* Hospice Home Care Social Worker* Hospice Social Worker* Hospital Social Worker* Medical Social Worker* Neonatal Social Worker* Nephrology Social Worker* Oncology Social Worker* Pediatric Social Worker* Public Health Social Worker* Renal Social Worker,"=""21-1022""",193.2,208.1,14.8,7.7,18.4,68090.0,Master's degree,2,,4,Internship/residency,1,21-1022,21,Healthcare social workers,Community & Social Service,67.5,8.4,59.1
Public relations specialists    * Environmental Communications Specialist* Lobbyist* Media Relations Specialist* Press Agent* Press Secretary* Public Affairs Officer* Public Relations Counselor* Public Relations Officer* Public Relations Representative* Publicist* Publicity Agent* Publicity Writer,"=""27-3031""",315.9,331.0,15.0,4.8,27.6,69780.0,Bachelor's degree,3,,4,,6,27-3031,27,Public relations specialists,"Arts, Design, Media & Sports",83.7,19.3,64.4
"Nursing instructors and teachers, postsecondary    * Advanced Nursing Professor* Clinical Nursing Instructor* Clinical Nursing Professor* Registered Nursing Professor","=""25-1072""",91.6,106.9,15.3,16.8,8.6,79940.0,Doctoral or professional degree,1,Less than 5 years,2,,6,25-1072,25,"Nursing instructors and teachers, postsecondary",Education & Training,72.8,11.5,61.3
Pharmacists    * Apothecary* Clinical Pharmacist* Druggist* Hospital Pharmacist* Registered Pharmacist,"=""29-1051""",335.1,350.5,15.4,4.6,14.2,137480.0,Doctoral or professional degree,1,,4,,6,29-1051,29,Pharmacists,Healthcare Practitioners,65.4,7.2,58.2
Dental hygienists    * Oral Hygienist* RDH* Registered Dental Hygienist,"=""29-1292""",221.6,237.2,15.5,7.0,15.3,94260.0,Associate's degree,4,,4,,6,29-1292,29,Dental hygienists,Healthcare Practitioners,65.4,7.2,58.2
Occupational health and safety specialists    * Certified Industrial Hygienist* Certified Professional Ergonomist* Environmental Health Sanitarian* Health and Safety Inspector* Industrial Hygienist* Industrial Safety and Health Specialist* Occupational Safety and Health Inspector* Radiological Health Specialist,"=""19-5011""",131.9,148.4,16.5,12.5,14.9,83910.0,Bachelor's degree,3,,4,,6,19-5011,19,Occupational health and safety specialists,"Life, Physical & Social Science",78.2,12.8,65.4
Respiratory therapists    * CRT* Certified Respiratory Therapist* Inhalation Therapist* Oxygen Therapist* RRT* Registered Respiratory Therapist* Respiratory Therapist,"=""29-1126""",139.6,156.4,16.8,12.1,8.8,80450.0,Associate's degree,4,,4,,6,29-1126,29,Respiratory therapists,Healthcare Practitioners,65.4,7.2,58.2
"Securities, commodities, and financial services sales agents    * Commodities Broker* Commodity Trader* Equity Trader* Foreign Exchange Trader* Investment Banker* Municipal Bond Trader* Mutual Fund Sales Agent* Securities Trader* Stock Broker* Stock Trader","=""41-3031""",514.5,531.6,17.1,3.3,38.1,78140.0,Bachelor's degree,3,,4,Moderate-term on-the-job training,4,41-3031,41,"Securities, commodities, and financial services sales agents",Sales,76.5,15.3,61.2
Civil engineers    * Architectural Engineer* Bridge Engineer* Construction Engineer* Facilities Engineer* Geotechnical Engineer* Highway Engineer* Hydrographic Engineer* Railroad Design Consultant* Research Hydraulic Engineer* Structural Engineer,"=""17-2051""",368.9,387.5,18.5,5.0,23.6,99590.0,Bachelor's degree,3,,4,,6,17-2051,17,Civil engineers,Architecture & Engineering,84.8,14.7,70.1
Coaches and scouts    * Athletic Coach* Baseball Coach* Baseball Scout* Basketball Coach* Boxing Coach* Coach* Football Coach* Hockey Scout* Ice Skating Coach* Riding Coach* Ski Coach* Tennis Coach,"=""27-2022""",306.5,326.0,19.5,6.4,41.8,45920.0,Bachelor's degree,3,,4,,6,27-2022,27,Coaches and scouts,"Arts, Design, Media & Sports",83.7,19.3,64.4
Software quality assurance analysts and testers    * Applications Tester* Software Quality Assurance Technician* Software Quality Control Specialist* Software Quality Engineer* Software Test Engineer,"=""15-1253""",201.7,221.9,20.2,10.0,14.0,102610.0,Bachelor's degree,3,,4,,6,15-1253,15,Software quality assurance analysts and testers,Computer & Mathematical,94.3,33.0,61.3
Financial and investment analysts    * Corporate Financial Analyst* Corporate Securities Research Analyst* Corporate Statistical Financial Analyst* Institutional Commodity Analyst* Organizational Investment Analyst,"=""13-2051""",368.5,389.6,21.1,5.7,25.1,101350.0,Bachelor's degree,3,,4,,6,13-2051,13,Financial and investment analysts,Business & Financial,94.3,27.5,66.8
Computer network architects    * Computer Network Engineer* Network Designer* Network Developer* Network Engineer,"=""15-1241""",179.2,200.6,21.4,11.9,11.2,130390.0,Bachelor's degree,3,5 years or more,1,,6,15-1241,15,Computer network architects,Computer & Mathematical,94.3,33.0,61.3
Occupational therapists    * OT* Occupational Therapist* Registered Occupational Therapist,"=""29-1122""",160.0,182.1,22.1,13.8,10.2,98340.0,Master's degree,2,,4,,6,29-1122,29,Occupational therapists,Healthcare Practitioners,65.4,7.2,58.2
"Preschool teachers, except special education    * Early Childhood Teacher* Head Start Teacher* Home-based Preschool Teacher* Nursery School Teacher* Nursery Teacher* Pre-K Teacher* Pre-Kindergarten Teacher* Preschool Head Start Teacher* Preschool Teacher","=""25-2011""",555.1,578.1,22.9,4.1,65.5,37120.0,Associate's degree,4,,4,,6,25-2011,25,"Preschool teachers, except special education",Education & Training,72.8,11.5,61.3
Operations research analysts    * Operations Analyst* Procedure Analyst* Process Analyst,"=""15-2031""",112.1,136.2,24.1,21.5,9.6,91290.0,Bachelor's degree,3,,4,,6,15-2031,15,Operations research analysts,Computer & Mathematical,94.3,33.0,61.3
Physical therapist assistants    * LPTA* Licensed Physical Therapist Assistant* Physical Therapy Assistant* Physical Therapy Technician* Physiotherapy Assistant,"=""31-2021""",111.5,136.0,24.5,22.0,19.8,65510.0,Associate's degree,4,,4,,6,31-2021,31,Physical therapist assistants,Healthcare Support,42.1,3.8,38.300000000000004
Mechanical engineers    * Auto Research Engineer* Combustion Engineer* Engine Designer* Heating and Cooling Systems Engineer* Tool Engineer* Tool and Die Engineer,"=""17-2141""",293.1,319.6,26.5,9.1,18.1,102320.0,Bachelor's degree,3,,4,,6,17-2141,17,Mechanical engineers,Architecture & Engineering,84.8,14.7,70.1
Marketing managers    * Internet Marketing Manager* Marketing Administrator* Marketing Director* VP Marketing,"=""11-2021""",407.0,433.7,26.7,6.6,34.3,161030.0,Bachelor's degree,3,5 years or more,1,,6,11-2021,11,Marketing managers,Management,91.3,18.2,73.1
Speech-language pathologists    * Language Pathologist* Public School Speech Clinician* Public School Speech Therapist* Speech Clinician* Speech Pathologist* Speech Therapist* Speech and Language Specialist,"=""29-1127""",187.4,215.5,28.2,15.0,13.3,95410.0,Master's degree,2,,4,Internship/residency,1,29-1127,29,Speech-language pathologists,Healthcare Practitioners,65.4,7.2,58.2
Sales managers    * District Sales Manager* E-Commerce Director* Export Manager* Regional Sales Manager* Sales Account Manager* Sales Director* Territory Sales Manager,"=""11-2022""",619.5,648.5,29.0,4.7,49.0,138060.0,Bachelor's degree,3,Less than 5 years,2,,6,11-2022,11,Sales managers,Management,91.3,18.2,73.1
Physical therapists    * Cardiopulmonary Physical Therapist* Geriatric Physical Therapist* Orthopedic Physical Therapist* PT* Pediatric Physical Therapist* Physiotherapist* Pulmonary Physical Therapist* Sports Physical Therapist,"=""29-1123""",267.2,296.4,29.3,10.9,13.2,101020.0,Doctoral or professional degree,1,,4,,6,29-1123,29,Physical therapists,Healthcare Practitioners,65.4,7.2,58.2
Buyers and purchasing agents,"=""13-1020""",522.2,552.3,30.1,5.8,52.2,75650.0,Bachelor's degree,3,,4,Moderate-term on-the-job training,4,13-1020,13,Buyers and purchasing agents,Business & Financial,94.3,27.5,66.8
Personal financial advisors    * Certified Financial Planner* Estate Planner* Estate Planning Counselor* Financial Counselor* Individual Pension Adviser* Individual Pension Consultant* Personal Financial Planner* Personal Investment Adviser,"=""13-2052""",326.0,357.2,31.2,9.6,24.1,102140.0,Bachelor's degree,3,,4,Long-term on-the-job training,3,13-2052,13,Personal financial advisors,Business & Financial,94.3,27.5,66.8
Physician assistants    * Anesthesiologist Assistant* Certified Physician's Assistant* Family Practice Physician Assistant* Orthopaedic Physician Assistant* Orthopedic Physician Assistant* Pediatric Physician Assistant* Radiology Practitioner Assistant,"=""29-1071""",162.7,195.8,33.2,20.4,12.0,133260.0,Master's degree,2,,4,,6,29-1071,29,Physician assistants,Healthcare Practitioners,65.4,7.2,58.2
Lawyers    * Agency Legal Counsel* Assistant Attorney General* Assistant Corporation Counsel* Assistant Counsel* Associate Attorney* Attorney* Attorney At Law* Attorney General* Brief Writer* City Attorney* Civil Lawyer* Commonwealth Attorney* Corporate Attorney* Corporate Counsel* Corporate Counselor* County Attorney* Defense Attorney* Deputy Attorney General* Deputy Chief Counsel* District Attorney* Environmental Attorney* Estate Conservator* General Counsel* Insurance Attorney* Legal Counsel* Probate Lawyer* Prosecutor* Public Defender* Real Estate Attorney* Sports Attorney* Tax Attorney* Trial Attorney* Trial Lawyer,"=""23-1011""",864.8,900.7,35.9,4.1,31.5,151160.0,Doctoral or professional degree,1,,4,,6,23-1011,23,Lawyers,Legal,89.0,22.1,66.9
"Business operations specialists, all other    * Mystery Shopper* Ship Purser","=""13-1199""",1205.7,1242.0,36.3,3.0,108.2,81270.0,Bachelor's degree,3,,4,,6,13-1199,13,"Business operations specialists, all other",Business & Financial,94.3,27.5,66.8
"Computer occupations, all other    * Computer Console Operator* Computer Laboratory Technician* Data Center Operator","=""15-1299""",472.0,510.5,38.5,8.2,31.3,108970.0,Bachelor's degree,3,,4,,6,15-1299,15,"Computer occupations, all other",Computer & Mathematical,94.3,33.0,61.3
Industrial engineers    * Efficiency Engineer* Manufacturing Engineer* Packaging Engineer* Production Engineer,"=""17-2112""",351.1,389.6,38.5,11.0,25.2,101140.0,Bachelor's degree,3,,4,,6,17-2112,17,Industrial engineers,Architecture & Engineering,84.8,14.7,70.1
Logisticians    * Logistician* Logistics Analyst* Logistics Coordinator* Logistics Planner* Logistics Specialist,"=""13-1081""",241.0,281.3,40.3,16.7,26.4,80880.0,Bachelor's degree,3,,4,,6,13-1081,13,Logisticians,Business & Financial,94.3,27.5,66.8
Computer systems analysts    * Applications Analyst* Computer Systems Consultant* Data Processing Systems Analyst* Information Systems Analyst* Information Systems Planner* Programmer Analyst* Systems Architect,"=""15-1211""",521.1,566.5,45.5,8.7,34.2,103790.0,Bachelor's degree,3,,4,,6,15-1211,15,Computer systems analysts,Computer & Mathematical,94.3,33.0,61.3
Construction managers    * Construction Coordinator* Construction Superintendent* General Contractor* Masonry Contractor Administrator,"=""11-9021""",550.3,598.4,48.1,8.7,46.8,106980.0,Bachelor's degree,3,,4,Moderate-term on-the-job training,4,11-9021,11,Construction managers,Management,91.3,18.2,73.1
Training and development specialists    * Computer Software Training Specialist* Computer Training Specialist* Corporate Trainer* Employee Development Specialist* Insurance Employee Trainer* Job Training Specialist* Training Coordinator* Training Specialist,"=""13-1151""",452.3,501.0,48.7,10.8,43.9,65850.0,Bachelor's degree,3,Less than 5 years,2,,6,13-1151,13,Training and development specialists,Business & Financial,94.3,27.5,66.8
"Health specialties teachers, postsecondary    * Clinical Laboratory Science Professor* Clinical Sciences Professor* Dentistry Professor* Gastroenterology Professor* Neurology Professor* Nutrition Professor* Occupational Therapy Professor* Optometry Professor* Pharmacology Professor* Physical Therapy Professor* Podiatric Medicine Professor* Podiatry Professor* Public Health Professor","=""25-1071""",289.6,339.7,50.1,17.3,27.4,105620.0,Doctoral or professional degree,1,Less than 5 years,2,,6,25-1071,25,"Health specialties teachers, postsecondary",Education & Training,72.8,11.5,61.3
